"Unidade da Federação";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004/Jan";"2004/Fev";"2004/Mar";"2004/Abr";"2004/Mai";"2004/Jun";"2004/Jul";"2004/Ago";"2004/Set";"2004/Out";"2004/Nov";"2004/Dez";"2005/Jan";"2005/Fev";"2005/Mar";"2005/Abr";"2005/Mai";"2005/Jun";"2005/Jul";"2005/Ago";"2005/Set";"2005/Out";"2005/Nov";"2005/Dez";"2006/Jan";"2006/Fev";"2006/Mar";"2006/Abr";"2006/Mai";"2006/Jun";"2006/Jul";"2006/Ago";"2006/Set";"2006/Out";"2006/Nov";"2006/Dez";"2007/Jan";"2007/Fev";"2007/Mar";"2007/Abr";"2007/Mai";"2007/Jun";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Out";"2011/Nov";"2011/Set";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Dez";" Total"
"24 Rio Grande do Norte";"14681";"2";"1437";"273";"3873";"5785";"66947";"15117";"6828";"7935";"416";"385";"765";"550";"466";"1096";"136";"341";"147";"105";"794";"495";"2469";"1146";"1690";"1093";"1450";"1120";"1207";"2387";"1193";"1232";"906";"495";"843";"791";"934";"469";"1231";"1030";"999";"1114";"1319";"948";"423";"377";"754";"450";"467";"916";"516";"603";"666";"297";"477";"458";"573";"612";"9611";"5482";"2796";"2026";"1245";"1141";"709";"648";"470";"708";"540";"699";"940";"508";"567";"859";"715";"650";"496";"619";"627";"434";"715";"922";"700";"477";"568";"564";"566";"813";"903";"809";"833";"608";"635";"772";"793";"844";"732";"1072";"885";"1114";"842";"1021";"943";"797";"812";"966";"1107";"944";"993";"821";"1109";"1084";"874";"758";"652";"1035";"779";"700";"905";"617";"845";"750";"1010";"897";"1534";"817";"1250";"693";"691";"1099";"770";"866";"1179";"1312";"750";"1244";"971";"1002";"914";"1046";"814";"585";"773";"710";"669";"1469";"920";"980";"861";"942";"925";"598";"569";"800";"799";"684";"618";"741";"887";"750";"770";"675";"560";"688";"582";"619";"2356";"3056";"2465";"1803";"1302";"1249";"1137";"927";"902";"927";"1543";"1346";"8813";"7044";"5424";"4391";"3239";"2239";"2246";"2009";"1747";"1711";"1932";"3390";"2187";"2216";"1691";"1706";"1725";"1678";"1561";"1924";"1776";"1665";"1282";"1333";"1521";"1432";"903";"169";"277";"1096";"1677";"2241";"2340";"5199";"3409";"2613";"1542";"1623";"1773";"1912";"1697";"580";"0";"383377"
"25 Paraíba";"0";"0";"322";"740";"1385";"7545";"5664";"4857";"3110";"1738";"436";"244";"105";"151";"199";"176";"99";"157";"231";"143";"280";"333";"209";"193";"297";"154";"74";"180";"248";"375";"311";"296";"271";"311";"466";"253";"135";"173";"452";"328";"232";"129";"345";"270";"196";"236";"189";"258";"503";"263";"364";"133";"366";"444";"426";"480";"219";"556";"9212";"2367";"1895";"964";"672";"608";"308";"743";"415";"731";"516";"365";"645";"374";"639";"906";"689";"456";"408";"706";"968";"743";"1307";"1017";"284";"734";"450";"604";"656";"337";"804";"585";"250";"549";"705";"566";"645";"610";"674";"198";"415";"1027";"373";"810";"764";"344";"722";"426";"768";"716";"727";"177";"1155";"341";"669";"800";"478";"750";"255";"464";"549";"482";"778";"758";"757";"533";"1315";"566";"667";"513";"457";"480";"543";"631";"353";"467";"846";"329";"368";"714";"468";"875";"422";"312";"488";"454";"676";"578";"705";"657";"752";"867";"622";"566";"687";"284";"642";"560";"374";"536";"461";"334";"229";"489";"283";"113";"172";"48";"2403";"2898";"3783";"1583";"1669";"1659";"1264";"861";"889";"617";"1134";"860";"6113";"3598";"2107";"2279";"2279";"2260";"2225";"1418";"685";"911";"1365";"1942";"1264";"1436";"1163";"1408";"1245";"1024";"1138";"1385";"1406";"1462";"927";"1104";"1069";"1173";"635";"129";"664";"2479";"7257";"9768";"8626";"40142";"16653";"10279";"11887";"9916";"10733";"12145";"8059";"1026";"0";"326900"
"26 Pernambuco";"8";"86";"2113";"7805";"8224";"5016";"114732";"91987";"39542";"36067";"1720";"1795";"2233";"2357";"3257";"3588";"2401";"6076";"1888";"1594";"3823";"3766";"2173";"700";"1322";"2050";"707";"998";"323";"3474";"238";"774";"894";"579";"1387";"660";"752";"1350";"1271";"2059";"2074";"1547";"232";"618";"602";"454";"951";"1546";"1299";"1406";"838";"867";"1156";"711";"563";"1802";"1328";"1343";"24918";"10703";"6180";"5231";"4000";"4031";"2791";"2315";"2515";"2291";"1728";"1598";"2512";"2135";"2651";"2648";"1964";"2281";"2063";"1696";"1891";"1617";"1397";"1954";"2288";"1486";"1684";"1524";"1564";"2094";"1367";"1663";"1486";"1678";"1510";"1545";"1380";"1649";"1292";"1837";"1859";"2146";"1569";"2152";"1929";"1693";"1701";"1434";"2047";"2103";"1809";"1972";"2124";"2337";"2210";"2139";"2671";"1707";"2041";"2061";"1870";"2589";"2146";"1908";"3408";"2400";"3052";"3153";"2981";"1844";"2491";"1445";"1371";"1818";"2075";"1669";"1784";"1865";"2122";"2196";"2116";"1528";"1487";"1199";"1512";"1595";"1468";"1712";"2959";"2250";"2579";"2568";"2358";"1661";"1466";"1648";"1886";"1323";"1441";"1349";"2015";"1223";"1244";"1235";"1461";"1127";"1345";"1203";"10030";"12873";"10204";"6660";"5773";"5431";"3456";"2220";"2024";"3019";"3175";"3899";"32120";"21181";"13128";"10246";"8811";"6628";"5856";"5069";"4338";"3838";"3913";"5737";"5259";"5918";"4076";"3731";"3424";"3083";"3891";"4313";"4164";"3844";"2839";"4078";"48573";"55309";"214379";"47167";"97310";"73358";"100847";"95096";"82179";"209792";"102146";"41377";"35230";"30737";"34565";"37684";"27881";"3558";"0";"2206569"
"27 Alagoas";"0";"0";"0";"163";"1974";"2886";"23225";"13811";"5017";"3856";"212";"157";"209";"116";"256";"177";"335";"664";"49";"389";"245";"266";"272";"239";"631";"258";"313";"415";"210";"126";"161";"527";"255";"185";"223";"302";"144";"117";"664";"249";"217";"211";"110";"55";"128";"175";"314";"362";"287";"491";"312";"240";"302";"354";"234";"426";"411";"35";"4687";"5773";"4014";"1967";"1136";"806";"552";"834";"415";"725";"471";"695";"786";"966";"831";"837";"596";"803";"593";"757";"693";"434";"578";"777";"926";"770";"354";"513";"712";"549";"551";"682";"649";"505";"630";"522";"568";"590";"556";"467";"304";"541";"389";"539";"209";"432";"497";"361";"752";"788";"685";"504";"531";"576";"480";"804";"562";"469";"590";"415";"593";"560";"297";"781";"516";"435";"799";"744";"563";"566";"434";"377";"659";"691";"436";"542";"571";"713";"640";"612";"526";"362";"534";"588";"703";"445";"560";"458";"1519";"816";"809";"397";"504";"519";"499";"591";"692";"508";"486";"515";"550";"464";"456";"491";"539";"281";"529";"446";"3812";"4668";"2969";"1255";"1745";"1220";"1047";"1039";"839";"810";"1049";"912";"9643";"6764";"11828";"7046";"6948";"3000";"2182";"1928";"1588";"1246";"1362";"1379";"1175";"2022";"1472";"1193";"1240";"1138";"988";"1208";"1297";"1459";"1476";"2059";"1982";"2466";"1403";"252";"340";"305";"829";"4235";"5412";"20934";"11459";"7003";"9324";"8420";"11080";"10163";"10843";"1357";"0";"342789"
"28 Sergipe";"0";"0";"551";"343";"1524";"1303";"277265";"38340";"2724";"2334";"101";"118";"190";"44";"207";"143";"186";"84";"154";"116";"477";"280";"122";"145";"147";"345";"234";"187";"91";"141";"147";"172";"133";"411";"155";"211";"279";"170";"152";"144";"327";"149";"204";"265";"339";"199";"262";"406";"310";"248";"280";"356";"367";"316";"304";"284";"282";"274";"12255";"3726";"1670";"1366";"997";"657";"815";"545";"454";"346";"269";"285";"243";"264";"452";"851";"448";"446";"411";"356";"372";"343";"239";"500";"352";"549";"466";"349";"550";"554";"457";"470";"561";"1300";"735";"395";"553";"352";"408";"979";"431";"508";"669";"655";"496";"538";"483";"496";"688";"798";"562";"681";"558";"600";"557";"463";"371";"436";"452";"201";"565";"354";"386";"750";"260";"265";"749";"647";"527";"254";"447";"542";"618";"386";"422";"311";"1236";"862";"336";"497";"483";"480";"680";"504";"515";"574";"338";"348";"409";"698";"443";"579";"339";"202";"294";"222";"302";"225";"299";"134";"301";"258";"243";"256";"239";"145";"247";"114";"3215";"3697";"2732";"2207";"1371";"844";"404";"636";"454";"785";"1052";"659";"13055";"8147";"5794";"3230";"2492";"1694";"2710";"1976";"1444";"1001";"1449";"1855";"1448";"2088";"1250";"1307";"1167";"793";"956";"647";"868";"866";"759";"749";"745";"1028";"574";"101";"124";"236";"362";"466";"400";"439";"563";"368";"409";"368";"301";"313";"304";"20";"0";"486232"
"29 Bahia";"0";"0";"1317";"8308";"22209";"770931";"3029516";"2230375";"715468";"673436";"37106";"44517";"36180";"54389";"63465";"60271";"31528";"43284";"50553";"27644";"45358";"60509";"30909";"34075";"37545";"40109";"79815";"57782";"36197";"68791";"89386";"48284";"42815";"62231";"44451";"41741";"35916";"41800";"67210";"55678";"36356";"36122";"44811";"35530";"44941";"71715";"62015";"84422";"44722";"42637";"59998";"47460";"38307";"38718";"40916";"37749";"39112";"45758";"236112";"210758";"44890";"41039";"47133";"43505";"34718";"50842";"52467";"34795";"33830";"35593";"27455";"35149";"34178";"36068";"44430";"41659";"36070";"38912";"40757";"36395";"39187";"39225";"35723";"42525";"57233";"81203";"81176";"75440";"50830";"58683";"50991";"42003";"40580";"42311";"36690";"43615";"39891";"57094";"73799";"66002";"59841";"76441";"73046";"60675";"68376";"47252";"40334";"43061";"48082";"48330";"59524";"53357";"44146";"57094";"56490";"45223";"38935";"29555";"29039";"34480";"43739";"49780";"50672";"50926";"45788";"55146";"70973";"45116";"41530";"33266";"35488";"40587";"47686";"52538";"51481";"39811";"38245";"42925";"48879";"43240";"34581";"30417";"32954";"33081";"45011";"41469";"43409";"36594";"38402";"105753";"65856";"52549";"41538";"30284";"40146";"40763";"39369";"39880";"41065";"33563";"36020";"36879";"156687";"72116";"35548";"25929";"165072";"253134";"189832";"437103";"184564";"87223";"55514";"44949";"46609";"32392";"27148";"21724";"182857";"82326";"54412";"39567";"26826";"18577";"25071";"25092";"22108";"24854";"22376";"17344";"29028";"26245";"24728";"25460";"24254";"16679";"25801";"25853";"22408";"32426";"27772";"17780";"38928";"64572";"53777";"21578";"49071";"45562";"49730";"40388";"38890";"77820";"41595";"24642";"28295";"27071";"30995";"28469";"21268";"3008";"0";"18305071"
"31 Minas Gerais";"0";"0";"0";"10264";"2183358";"5894457";"3429168";"5385206";"455499";"837679";"40421";"42746";"55061";"83121";"59635";"66913";"34937";"44287";"31030";"30360";"39856";"28162";"43392";"46768";"47052";"52749";"69836";"56250";"31308";"53142";"30882";"36286";"37694";"34368";"41225";"38160";"42953";"60069";"64453";"49143";"34860";"42183";"31862";"45423";"46979";"37068";"75305";"51494";"51516";"73766";"75972";"55184";"44278";"51337";"40675";"46351";"44108";"35713";"1058486";"275459";"106298";"104177";"73147";"64420";"46639";"124029";"112530";"59588";"70578";"53317";"69026";"79672";"82887";"120506";"99237";"100701";"93857";"85545";"105594";"86075";"103935";"82554";"102660";"87456";"113892";"184904";"208721";"151500";"113920";"113173";"78476";"67024";"75538";"65660";"84771";"109852";"163288";"192078";"222283";"122163";"101511";"109630";"118150";"153517";"84277";"95524";"108434";"91560";"111041";"78607";"151557";"101425";"89141";"99452";"66648";"68247";"60153";"50066";"66628";"65529";"79563";"137195";"102760";"89211";"79945";"93576";"87062";"72084";"60998";"47190";"71044";"63981";"76786";"77644";"77828";"59326";"64477";"59823";"72324";"61910";"52316";"40205";"68873";"54767";"89018";"76668";"102714";"78892";"77075";"183692";"88490";"77056";"70827";"57338";"76405";"65712";"71551";"86033";"88061";"71424";"70390";"72553";"376377";"94317";"65363";"53439";"1933574";"1620796";"1248074";"233409";"90237";"45757";"36470";"33757";"49765";"33653";"38018";"37734";"764106";"407006";"180188";"92571";"56438";"38561";"39233";"42120";"29859";"38320";"33208";"28207";"44814";"37229";"36432";"36047";"41577";"33205";"36008";"31343";"23836";"44471";"33450";"22911";"65786";"135189";"100523";"50212";"118335";"82601";"82067";"68670";"53782";"148303";"70765";"43155";"50026";"42583";"45440";"57593";"35264";"3720";"0";"40529358"
"32 Espírito Santo";"0";"79";"0";"5421";"694";"1015";"122166";"327550";"9508";"187772";"2653";"20923";"67808";"76700";"35049";"40979";"11327";"15271";"8599";"8901";"15187";"5299";"5950";"6368";"6397";"8146";"9994";"9072";"7091";"9168";"7205";"4725";"8415";"5561";"5037";"4722";"6119";"6077";"6053";"6672";"6626";"7642";"4614";"6250";"5608";"4477";"23194";"13912";"6644";"7035";"8034";"7546";"6483";"7140";"6164";"6804";"7077";"4987";"55356";"15759";"8910";"8892";"6723";"6571";"5678";"9765";"7213";"4195";"4156";"3740";"4443";"4484";"3807";"2479";"2008";"1894";"2015";"1600";"1352";"937";"1427";"2082";"2981";"1649";"1840";"1612";"1913";"1742";"1818";"1845";"1271";"1339";"1344";"1679";"1660";"1482";"1502";"1878";"1442";"2202";"2260";"2415";"1689";"1836";"1779";"2140";"2210";"1858";"1817";"1557";"1999";"1876";"2952";"2100";"1419";"1786";"1720";"1695";"2330";"1138";"1449";"1928";"1803";"1716";"3451";"2315";"1810";"1766";"1809";"1692";"1883";"1789";"1873";"2039";"1756";"1851";"1916";"2246";"2083";"2319";"1618";"2297";"1452";"1078";"1342";"972";"1287";"1562";"1885";"1519";"1193";"1061";"850";"1324";"1385";"1048";"1121";"1348";"1465";"1417";"1866";"1346";"1254";"1110";"1144";"1252";"408932";"624551";"1207456";"149589";"71308";"30895";"12402";"18854";"15422";"11469";"15732";"297034";"28899";"17659";"13835";"8123";"7269";"6231";"6812";"7339";"6029";"6596";"6818";"5381";"9026";"8075";"7673";"7272";"8254";"6048";"8041";"8634";"7159";"9596";"10743";"7683";"14960";"33928";"23405";"6062";"15832";"11892";"13531";"14020";"13341";"35023";"18899";"12521";"13592";"10623";"10258";"10840";"9220";"1443";"0";"4888090"
"33 Rio de Janeiro";"0";"15273";"10114";"2504";"20174";"17560";"651110";"457662";"36103";"34089";"2627";"2683";"2208";"1566";"2046";"2486";"3646";"2536";"5942";"3008";"3444";"5798";"4213";"3307";"5410";"9603";"16607";"4583";"4138";"4190";"5374";"4124";"5789";"3305";"5741";"2510";"3459";"4108";"3841";"2401";"4155";"3818";"6543";"4093";"3703";"4175";"11025";"4643";"4555";"4059";"5095";"5366";"5930";"5151";"4144";"6098";"4668";"5951";"218455";"47949";"21136";"16729";"9220";"9096";"9272";"7027";"7653";"7039";"5908";"7287";"7971";"7012";"6848";"8020";"7145";"7128";"6927";"6223";"5489";"5195";"5910";"8727";"8827";"6557";"7233";"6162";"7616";"6836";"7912";"6865";"7187";"5721";"6437";"7023";"8245";"7117";"5916";"7634";"7646";"9048";"8898";"9336";"7404";"7443";"7152";"8998";"11397";"7691";"8043";"6398";"6797";"7460";"9086";"7850";"6053";"7488";"6702";"7389";"9995";"6418";"7600";"8227";"8181";"8989";"9914";"8741";"7682";"7677";"7195";"7187";"9242";"8275";"8269";"8467";"8686";"6776";"9316";"8075";"8868";"8589";"6809";"7950";"7531";"5605";"6281";"5974";"6546";"7342";"7895";"6268";"5836";"5786";"5025";"6251";"6787";"4830";"5354";"5228";"4865";"5091";"5976";"5805";"6138";"6452";"6497";"7989";"106998";"349523";"2540844";"1111871";"546641";"317592";"280941";"120737";"134567";"77301";"60954";"50639";"2043975";"280063";"154473";"49710";"40305";"84068";"25626";"20829";"20909";"231132";"76405";"109482";"38809";"35715";"32613";"27014";"29681";"24455";"26648";"24467";"20327";"31931";"81962";"17330";"30518";"31501";"28672";"10168";"22239";"21814";"26460";"28235";"24970";"70933";"34126";"19661";"26497";"21289";"25460";"22250";"24795";"4448";"0";"12234440"
"35 São Paulo";"0";"0";"0";"0";"1253368";"1523448";"3266142";"552836";"519732";"578909";"28613";"26259";"27749";"37635";"30779";"30811";"32918";"29658";"28084";"23538";"24447";"28072";"37342";"30062";"42202";"38845";"41424";"42177";"36127";"35818";"36881";"28512";"30830";"33794";"36871";"31275";"36191";"36347";"41124";"40443";"42095";"31726";"32569";"28951";"29179";"34663";"45958";"39411";"43387";"49305";"47058";"41467";"38746";"39182";"33267";"35354";"38117";"35326";"809214";"369121";"141193";"187345";"97112";"301523";"216580";"97234";"76830";"40326";"43552";"60530";"103508";"81576";"343465";"942241";"254762";"117581";"70766";"51587";"55460";"48338";"60113";"67100";"240820";"174463";"102530";"143223";"127376";"90081";"64228";"58756";"46400";"44641";"53066";"49456";"66492";"59356";"54274";"61384";"90342";"65161";"60828";"59899";"47749";"51559";"52995";"61822";"69537";"56044";"60619";"55449";"88683";"69123";"66043";"64752";"47705";"50205";"47889";"44655";"60595";"53564";"57096";"87740";"69404";"65390";"62325";"59128";"55596";"51648";"46706";"46157";"57541";"50881";"58471";"63316";"65922";"50347";"54030";"50216";"54418";"52150";"41676";"42739";"50480";"39718";"47464";"42321";"59545";"51553";"50856";"70267";"45367";"45454";"43654";"43738";"51352";"40795";"45177";"47595";"51005";"44765";"44350";"40406";"175967";"58939";"63596";"58755";"413655";"569027";"329220";"459927";"337805";"159014";"85525";"97102";"209235";"738151";"736486";"910700";"3033371";"545657";"402295";"186823";"119338";"83774";"173420";"144514";"118110";"123094";"211986";"199581";"228511";"298514";"188789";"153533";"149672";"124994";"140888";"134557";"123891";"145547";"108236";"83134";"169924";"256227";"194637";"78095";"183944";"153551";"158111";"135672";"120984";"270982";"154667";"94430";"126188";"102413";"97923";"125851";"72749";"8345";"0";"34112630"
"41 Paraná";"0";"1381";"1393";"2973";"1821";"2869241";"993991";"963614";"322304";"261130";"13699";"14834";"27184";"76712";"40767";"57867";"28274";"55068";"35226";"31471";"57852";"36393";"27819";"32663";"98216";"58358";"68960";"63795";"30632";"52994";"28468";"31607";"36205";"29945";"27402";"28576";"31869";"35174";"40123";"51066";"31493";"36676";"30300";"25344";"26793";"22778";"26631";"28292";"30560";"32495";"34444";"35675";"23146";"30788";"26791";"27271";"26252";"22494";"461642";"135345";"308769";"333123";"64081";"33507";"22890";"48406";"35848";"20646";"21452";"20204";"27384";"27187";"37146";"102670";"50368";"32223";"24941";"34194";"58959";"58479";"48856";"46718";"44235";"50058";"61312";"125399";"104863";"72127";"53472";"43089";"31105";"27433";"29798";"26591";"29994";"37213";"52693";"104356";"82209";"46663";"36556";"50464";"50811";"45626";"40269";"33681";"32448";"32143";"36055";"36207";"51712";"37305";"36449";"54056";"31157";"30936";"26945";"22059";"31085";"27972";"30084";"49421";"34730";"32133";"33744";"43734";"37325";"31341";"31234";"26086";"31276";"29050";"41736";"42035";"35389";"28710";"35694";"35024";"36184";"34061";"31584";"24589";"32238";"31588";"44829";"39617";"49786";"37239";"34386";"85608";"35832";"36717";"36382";"32104";"40533";"35665";"35856";"42158";"38699";"37092";"34748";"35501";"129128";"39271";"36634";"28172";"89388";"90430";"86954";"37740";"27491";"20603";"19080";"20991";"29673";"18028";"19787";"16512";"97978";"60050";"46185";"71150";"28011";"22269";"32471";"37117";"29528";"40760";"96168";"59580";"107318";"363685";"205218";"161944";"92938";"62260";"45723";"55942";"47598";"54852";"46564";"28428";"62942";"159481";"107850";"30166";"80449";"56069";"55106";"41622";"41640";"109011";"106931";"63211";"54461";"57541";"34354";"40113";"21419";"1985";"0";"16286586"
"42 Santa Catarina";"434";"398";"5778";"2617";"4829";"4500";"40937";"333341";"69810";"52010";"2873";"3212";"3005";"4044";"2491";"3757";"3239";"3402";"3223";"2915";"3443";"2783";"3128";"2522";"3005";"3821";"3176";"5398";"4096";"5816";"3861";"3397";"4147";"3577";"4025";"3436";"3646";"3653";"3714";"3667";"5046";"5058";"3941";"3608";"3907";"3399";"3655";"3441";"3877";"4285";"4032";"4255";"4670";"4928";"4109";"4839";"4226";"3938";"64583";"24592";"17322";"19787";"27745";"8039";"9982";"9787";"6493";"4313";"4503";"5830";"9549";"7261";"6141";"61363";"46431";"17715";"9954";"6153";"6449";"5431";"5389";"7865";"9813";"7580";"9853";"10481";"12108";"11243";"9941";"14107";"9783";"7797";"10937";"7628";"8186";"8757";"11993";"24167";"31366";"42539";"31089";"42905";"34412";"33265";"33039";"20193";"17252";"20660";"16920";"12179";"22569";"16201";"14293";"29882";"12154";"12209";"10693";"8366";"11244";"9318";"9672";"17219";"10768";"11475";"12120";"14291";"12289";"10619";"9919";"7724";"10883";"10151";"10133";"10866";"10210";"8058";"16490";"16571";"11639";"10979";"10440";"7451";"10107";"8326";"9742";"8841";"10839";"7084";"11006";"18189";"9171";"9184";"8842";"7766";"10719";"9149";"8828";"10601";"9981";"8872";"8424";"8441";"32878";"10304";"9505";"6903";"32946";"32208";"35190";"15724";"12126";"9490";"7651";"7313";"12641";"6935";"7890";"6801";"57605";"41385";"29642";"23897";"21071";"20705";"25255";"22832";"54005";"105922";"106879";"56570";"58664";"328276";"344493";"488014";"179357";"63910";"67370";"60608";"69240";"84303";"82214";"26942";"75762";"175901";"76085";"25960";"47903";"34673";"30364";"21743";"23386";"69767";"40117";"19074";"26848";"33077";"30816";"32925";"18270";"1654";"1";"5640208"
"43 Rio Grande do Sul";"0";"0";"6191";"5405";"8192";"11138";"51105";"398870";"104896";"121510";"3642";"2788";"3238";"3156";"4535";"3805";"3650";"5139";"3582";"3661";"3220";"3723";"4483";"3206";"4934";"4804";"5320";"3652";"3166";"3306";"3808";"3548";"4004";"4128";"5127";"3910";"3693";"4190";"5435";"4180";"9520";"4791";"3615";"3810";"3597";"4098";"5059";"4483";"4888";"6947";"4757";"4154";"4700";"4978";"7350";"6269";"4739";"4825";"111348";"66525";"26890";"23893";"14443";"9720";"11815";"8970";"8309";"5837";"9998";"267670";"632014";"330290";"168637";"1022822";"1199454";"202815";"46291";"27170";"19579";"16429";"17298";"29446";"18331";"14723";"17706";"18101";"14627";"16479";"10493";"12986";"9574";"7786";"10264";"9201";"10811";"11335";"12914";"12666";"19831";"21286";"31859";"55160";"31130";"27527";"36921";"20176";"21061";"18653";"20852";"17999";"18625";"19768";"20571";"47685";"20961";"20098";"19362";"15297";"19972";"18890";"19554";"20406";"15115";"22639";"16623";"16603";"24472";"38204";"14337";"11604";"22001";"17207";"16888";"16864";"12409";"12208";"16773";"15276";"14432";"14145";"12024";"12494";"16741";"13020";"18759";"14524";"11928";"12984";"19277";"66870";"21892";"19750";"20977";"17954";"23270";"21344";"19025";"18722";"15465";"18088";"17939";"19887";"116471";"27764";"24721";"18583";"58720";"63333";"83046";"23818";"14673";"12852";"13360";"21796";"43652";"16276";"16286";"15076";"88826";"54631";"43891";"26542";"17145";"14683";"20187";"21539";"17036";"27352";"22197";"17881";"25991";"26183";"23761";"27850";"24511";"22041";"58604";"50480";"23752";"39494";"35756";"21607";"36556";"128843";"65144";"17485";"38737";"36505";"34345";"26547";"25560";"99804";"57673";"24172";"24292";"21737";"22664";"29797";"20070";"2295";"0";"8773551"
"50 Mato Grosso do Sul";"0";"0";"59715";"88319";"162943";"144353";"524577";"172191";"211717";"167807";"6706";"7124";"6629";"14784";"9700";"11202";"7617";"9999";"6795";"6471";"4322";"5899";"8582";"9681";"9293";"9583";"13874";"12668";"7929";"10367";"7453";"8267";"8204";"8165";"9365";"9644";"10859";"9690";"13106";"11820";"8672";"11124";"9199";"8347";"10750";"9824";"9712";"10263";"12839";"15805";"21260";"22392";"35407";"15442";"15304";"18255";"19140";"12143";"526605";"133828";"32162";"19988";"13111";"13803";"9998";"21505";"13523";"8854";"7974";"6280";"9924";"8297";"9885";"11112";"12403";"12913";"8864";"8114";"9922";"8221";"8037";"6452";"10029";"9151";"13557";"19315";"20869";"14701";"12229";"11791";"8802";"8809";"9921";"8066";"12409";"10870";"11909";"14127";"20392";"13227";"11803";"14740";"10453";"11497";"13285";"8442";"13308";"11120";"14461";"11869";"21815";"14999";"13365";"16550";"12256";"10514";"9790";"7194";"11897";"9909";"12336";"21956";"14205";"12804";"11044";"13375";"13273";"11383";"10027";"7219";"14615";"12985";"14534";"17942";"16118";"13429";"14423";"14763";"13966";"11554";"12033";"7939";"13893";"11660";"16062";"12272";"19312";"12823";"12311";"30093";"15653";"11589";"11099";"8703";"13554";"12981";"12061";"13004";"16658";"14005";"11834";"12014";"41107";"14187";"11895";"8192";"38096";"47612";"27386";"13564";"10065";"7342";"6366";"6199";"10548";"5453";"5911";"4799";"19632";"11561";"8648";"7126";"6025";"5386";"6757";"7532";"6731";"6914";"6555";"4806";"8271";"7264";"6705";"6649";"7121";"7256";"8881";"7581";"5817";"7938";"7870";"6867";"9586";"14487";"10632";"4566";"10550";"10001";"10618";"9238";"8473";"21519";"14242";"7984";"9024";"7734";"8100";"10281";"6085";"996";"0";"4666749"
